Language,Tokenizer,Model Size,Seed,Eval Loss,Accuracy,F1,Perplexity,Top5 Accuracy,Top10 Accuracy,TTR,Avg Token Length
Finnish,Trailing,14m,9336,4.765193939,0.001904878386,0.001198889173,117.3538746,0.007474586115,0.01477501921,0.599566981,5.6199375
Finnish,Trailing,14m,42,4.695543766,0.001902777444,0.001256155134,109.4583122,0.007849491572,0.01492422355,0.599566981,5.6199375
Finnish,Trailing,14m,356,4.805126667,0.001966818635,0.001196590253,122.1349605,0.007979712411,0.01533585796,0.599566981,5.6199375
Finnish,Trailing,14m,4329,4.619231224,0.001779047013,0.001147368557,101.4160359,0.007305835514,0.01437392702,0.599566981,5.6199375
Finnish,Trailing,14m,5545,4.67069149,0.001822979195,0.001182685221,106.7715484,0.007288577783,0.01400569955,0.599566981,5.6199375
,,,AVG,4.711157417,0.001875300134,0.001196337668,111.4269463,0.007579640679,0.01468294546,0.599566981,5.6199375
Finnish,Leading,14m,42,4.712682247,0.0009842437076,0.0008929810022,111.3504291,0.004839273167,0.01060598658,0.5944630783,5.7659375
Finnish,Leading,14m,356,4.532830715,0.0009396177651,0.0008599179851,93.02150613,0.00446544191,0.009927604806,0.5944630783,5.7659375
Finnish,Leading,14m,4329,4.691297054,0.001039585871,0.0009381810646,108.9944599,0.00538160389,0.01119268096,0.5944630783,5.7659375
Finnish,Leading,14m,5545,4.527979374,0.0009126023961,0.0008560509455,92.57131995,0.004471212183,0.01017568908,0.5944630783,5.7659375
Finnish,Leading,14m,9336,4.711195469,0.0009462498321,0.0008623500199,111.1849987,0.005040483336,0.01097056291,0.5944630783,5.7659375
,,,AVG,4.635196972,0.0009644599144,0.0008818962035,103.4245428,0.004839602897,0.01057450487,0.5944630783,5.7659375
English,Leading,14m,42,4.412416935,0.001728386826,0.001670749956,82.46854393,0.007488454303,0.01498206058,0.466583993,5.726125
English,Leading,14m,356,4.531952381,0.001729740869,0.001620544327,92.93983805,0.007379437299,0.01475527482,0.466583993,5.726125
English,Leading,14m,4329,4.621384621,0.001645360849,0.001510641515,101.6346602,0.007086336447,0.01506904961,0.466583993,5.726125
English,Leading,14m,5545,4.481080055,0.001749919418,0.001654116473,88.33002248,0.007427522352,0.01513929473,0.466583993,5.726125
English,Leading,14m,9336,4.584167957,0.001739648504,0.001598696769,97.92167822,0.007407938261,0.0152326907,0.466583993,5.726125
,,,AVG,4.52620039,0.001718611293,0.001610949808,92.65894858,0.007357937732,0.01503567409,0.466583993,5.726125
English,Trailing,14m,42,4.554509163,0.00157321419,0.00145633213,95.06008477,0.007449497823,0.01636215823,0.4820201414,5.5041875
English,Trailing,14m,356,4.463279247,0.00156564895,0.0014693265,86.77158855,0.007585381164,0.01686805938,0.4820201414,5.5041875
English,Trailing,14m,4329,4.556680679,0.001514987709,0.001402180919,95.26673359,0.008001016716,0.01729969832,0.4820201414,5.5041875
English,Trailing,14m,5545,4.562307358,0.001666777451,0.001534778638,95.80427975,0.007960895083,0.01752529764,0.4820201414,5.5041875
English,Trailing,14m,9336,4.566697598,0.001525171686,0.001417001354,96.22580813,0.00742896822,0.01732517443,0.4820201414,5.5041875
